price,bedrooms,bathrooms,sqft_lot,floors,condition,yr_built
190000,2,1,9500,1,Average,1951
432900,3,2.5,9226,2,Average,1998
621138,3,2.25,7741,2,Average,1986
270000,3,2.25,4252,1.5,Average,2003
610000,4,2.25,35040,1,Average,1980
500000,3,2,5525,1,VeryGood,1941
715000,4,2.25,40635,1,VeryGood,1968
264000,3,1.5,14821,1,Good,1958
550000,3,1.75,3200,1.5,Average,1901
337000,3,2,9087,1,Average,1997
170000,3,1,8710,1,Good,1962
405000,4,2.5,9095,1,Good,1972
775000,4,2.5,28563,1,Average,1984
425000,3,2.25,7475,1,Good,1983
713000,5,2.75,9242,2,Good,1967
555000,5,2.5,8712,1,Average,1966
810000,4,2.5,5608,2,Average,2003
1.25E+06,4,3.75,41263,2,Good,1990
819000,3,3.5,6150,2,VeryGood,1908
409900,3,2.5,1200,2,Average,2013
935000,2,2.5,2067,2,VeryGood,1974
657500,4,1.75,7560,1,Good,1947
900000,6,3.75,6105,2,Average,2008
932800,5,3.25,7095,2.5,Average,1998
391000,3,2,9000,1,Good,1977
420000,4,2.5,9825,2,Average,2000
1.30E+06,6,3.5,32670,2,Average,2002
415000,3,1.5,16800,1,VeryGood,1956
350000,3,1.75,9425,1,Average,1946
375000,2,1,1820,2,Good,1948
860000,3,1.75,14135,1,VeryGood,1947
495000,4,2.25,8872,1,Good,1961
250000,4,2.25,8400,1,Average,1962
365000,4,2.25,21312,1,Good,1968
503000,3,2.75,6760,1,VeryGood,1980
150000,2,1,7200,1,Good,1944
450000,4,1.75,1480,1,Good,1912
355000,4,3,7213,2,Average,2001
245000,3,2,9333,2,Good,1972
265900,3,2,7793,1,Good,1992
299000,4,2.5,7575,1,Average,1975
957500,4,2.25,11523,2,Good,1968
343000,3,1,7250,1,Good,1972
307500,3,2.25,7364,2,Average,1994
937500,5,3.75,14599,2,Average,2004
610000,3,3,45302,1,Good,1976
720000,3,1.5,7080,1,Average,1952
610000,4,2,2620,1.5,VeryGood,1919
434500,3,1.75,7965,1,Good,1967
602500,2,2.5,47044,1,Good,1979
607010,4,2.5,4000,2,Average,2002
610000,3,1,5750,1,Average,1947
828500,4,2.5,35000,2,Average,1983
199990,3,1,8560,1,Average,1961
294000,3,1.75,9362,1,Average,1987
789500,4,2.5,6100,2,Average,2005
797000,3,3.5,9473,2,Average,2008
539950,5,3,5250,2,Average,2006
284950,4,1.5,6778,1,Good,1962
776500,4,1.5,10372,1,Average,1965
525000,4,2.5,10070,1,Average,1967
303000,3,2.5,4957,2,Average,1999
722080,3,3.25,7650,2,Average,1988
140000,3,1,7473,1,Average,1959
235000,3,1,7473,1,Average,1959
440000,3,1,5500,1.5,Average,1903
605000,3,1.75,6000,1.5,Good,1940
380000,2,1,4800,1,Average,1950
352000,4,1,8890,1,Average,1925
420000,4,2.25,12000,1,Good,1979
1.18E+06,4,2,7220,2,Good,1930
1.38E+06,3,1.5,10572,1,Good,1953
300000,3,1.5,14750,1.5,Good,1933
1.15E+06,4,3.25,49091,2,Average,1990
453500,2,1.5,4189,1,VeryGood,1951
443500,3,2,7598,1,Good,1972
332000,2,1,8138,1,Average,1954
655000,3,2.5,4721,2,Average,2004
475000,4,1,6000,1.5,Average,1950
372500,3,1.75,12956,1,Average,1988
1.05E+06,4,2.5,7200,1,Average,1921
500000,3,1.75,4200,1,VeryGood,1945
900000,6,2.75,24773,1.5,Good,1950
327500,3,1,7140,1,Average,1989
390000,3,1.75,7123,1,Average,1913
451101,2,1.5,1962,2,Good,1985
455000,4,1,5800,1.5,Average,1914
650000,4,2.5,46748,2,Average,2004
895000,3,2.5,7746,2,Good,1993
800000,4,2.25,10664,1,Fair,1952
703770,4,2.25,12918,2,Average,1987
249950,3,1.75,10454,1,Good,1968
512000,2,2,3881,1,Good,1926
780000,5,2.5,74052,1,Good,1972
336000,3,2.25,11625,2,Average,1986
285000,3,2,6900,1.5,VeryGood,1955
229900,3,1.75,7224,1,Average,1981
667500,4,3,4000,1.5,Good,1931
378000,4,2.5,12236,1,Average,1978
454000,3,2.5,43733,2,Average,1991
537500,4,2.5,4630,2,Average,2005
425000,3,1,4160,1.5,Good,1926
290000,3,2,6600,1,Average,1998
349500,3,2,3600,1,Average,1963
370000,3,2.75,1655,2,Average,2006
549500,3,1.75,8438,1,Good,1961
245000,2,1,6322,1,Average,1942
208000,3,1.75,7200,1,Average,1994
248000,4,2.25,8760,1,Good,1966
610000,4,3.25,37058,1.5,VeryGood,1984
550000,4,2.5,5116,2,Average,1999
750000,3,2.75,206910,2,Average,2001
192000,2,1.75,7380,1,Average,1940
169317,2,1,4000,1,Average,1908
1.20E+06,4,3.5,3850,2.5,Average,2008
880000,2,1,6350,1.5,Good,1923
210000,1,1,7129,1,Average,1948
180500,3,1.5,9800,1,Average,1973
540000,4,2,29078,2,Average,1984
520000,3,1.75,35722,1,Average,1984
177500,3,1.5,6000,1,Average,1968
415000,3,1.75,5650,1,Good,1956
495000,4,2.5,7200,1,VeryGood,1968
325000,3,2.25,9646,1,Average,1966
440000,2,1.75,4903,1,Average,1985
411000,3,1.75,9844,1,Good,1959
810000,5,3.5,9600,2,Average,1998
561750,5,1.75,8996,1,Good,1962
835100,4,2.5,12573,1,Good,1963
450000,3,2.25,9969,1,Average,1985
238000,3,2.5,2807,2,Average,2004
299000,3,1,142803,1,Average,1974
570000,2,1,6240,1,Good,1941
340000,3,1.75,12626,2,Good,1978
450000,2,1.75,2275,1.5,Average,1912
272750,4,1.5,8786,1,Average,1966
520000,4,2,6380,2,Good,1949
284950,3,1,10723,1,VeryGood,1960
255000,2,1.5,9660,1,Average,1949
231500,2,1,9488,1,VeryGood,1941
415000,1,2,204732,2.5,Average,1979
330000,4,2.5,6000,2,Average,2006
365000,3,1.5,12240,1,Average,1963
425000,4,2,9188,1.5,Average,1928
400000,4,1.75,6480,1,Good,1958
335000,4,2.5,9701,2,Average,1989
342000,3,3,1251,2,Average,2003
490000,8,5,2580,2,Average,1997
331500,4,1.75,14319,1,Good,1969
960000,3,2.5,4102,3,Average,1996
720500,4,2.5,35298,2,Good,1985
830000,3,2.5,6550,2,Good,1912
662990,3,1.75,3600,1.5,VeryGood,1926
220000,4,2,10507,1.5,Good,1959
349950,5,2,4179,1,Average,1952
550000,3,2,2159,1,Average,1922
396000,3,1.75,5668,1,Good,1941
635000,4,1.5,4000,2,Average,1911
293000,3,1,7650,1,Average,1940
339000,3,2.25,10120,1,Good,1979
285000,4,2.25,8734,2,Good,1991
775000,6,2.75,5000,1.5,Average,1916
224000,4,1.5,9289,1,Good,1959
2.25E+06,4,3.5,8125,2,VeryGood,1922
165050,3,1,8514,1,Average,1959
275000,3,1.25,4500,1.5,Good,1913
445000,5,3,5500,1,Average,1951
510000,3,2.25,38639,1,Average,1978
1.23E+06,4,2.5,7000,2,Average,2001
390000,3,1.5,13500,1,Average,1970
460000,3,2.25,10450,1,Average,1977
700000,3,1.75,14733,1,Good,1958
874150,4,3.5,14406,2,Average,1987
470000,3,2.25,9800,2,Average,1987
374000,3,1.75,9416,1,Good,1961
510000,2,1.75,131115,1.5,VeryGood,1950
467000,2,2.5,1181,3,Average,2007
576000,4,2.5,28405,2,Average,2002
196440,3,2,7352,1,Average,1992
825000,4,2.5,18901,2,Average,1993
281000,2,1,2600,1,Average,1981
326000,3,2.5,1577,3,Average,2000
340000,3,1.75,46580,1,Good,1980
440000,5,1.75,36036,1,Average,1985
749000,4,2.5,18199,2,Average,1998
340000,4,1,8316,1.5,Average,1963
561000,3,2,7000,2,Average,1916
270000,3,2.25,7930,1,Average,1988
600000,2,1,3600,1,Good,1919
219900,4,1.5,5427,1,Average,1969
617000,3,1.75,360241,2,Average,1992
469000,3,2.25,8446,2,Average,1978
229000,3,1,56628,1,Average,1942
1.27E+06,4,3,2646,2.5,VeryGood,1906
365000,3,1.5,8301,1,Average,1958
429000,4,2.5,9301,2,Average,2001
550000,4,2.5,6809,2,Average,2003
453000,3,2.5,16300,1,Good,1955
187500,3,1.5,7000,1,Good,1977
520500,6,2.5,14350,1,VeryGood,1955
300000,3,1.75,12776,1,Good,1977
799000,4,3.25,5000,2,Average,2005
338000,3,2.5,4948,2,Average,2003
800000,3,1,4400,1.5,Good,1906
360000,2,2,3200,1,Good,1945
442500,6,2.5,10490,1,Average,1968
700000,4,1,1651359,1,Good,1920
830000,5,3,9601,1,VeryGood,1968
360400,3,2.5,11592,2,Average,1987
345000,3,1,9339,1,VeryGood,1960
300000,3,1.75,51836,1,Good,1966
350000,3,1,10800,1,VeryGood,1959
368000,4,2,36900,1,Average,1972
264000,3,1.75,7482,1,Good,1966
435000,3,2,16677,1,Average,1990
200000,3,1.5,15837,1.5,Average,1903
620000,5,2.5,3832,2,VeryGood,1929
1.68E+06,5,4.25,11466,2,Average,2014
337000,3,1.75,6000,1,Good,1919
1.93E+06,4,3.25,20296,2,Good,1984
544500,4,2.5,10414,1,VeryGood,1974
252000,1,1,1638,1,Poor,1910
445000,4,2.5,3784,2,Average,2008
379500,3,2.25,14196,2,Average,1989
189950,4,2,4225,1,Good,1919
469000,3,1,4250,1.5,VeryGood,1948
600000,5,2.75,53898,1,VeryGood,1979
785000,3,2.5,33981,2,Average,2000
372000,4,2.75,8967,2,Good,1990
445000,5,3,7180,2,Average,2004
508000,4,2.25,53392,2,Good,1986
780000,5,1.5,4800,2,Average,1905
541100,4,2.25,9800,2,Average,1978
729000,4,2.5,5608,2,Average,2003
397000,3,2,134489,1,VeryGood,1952
451555,2,1,4520,1,Average,1912
300000,2,1,8153,1,Average,1947
416000,3,2.5,11542,1,VeryGood,1969
490000,2,1,3060,1,Average,1925
480000,6,3.75,5054,2,Average,1942
368000,2,2,1662,1,Average,2002
1.04E+06,3,2.5,10615,2,Average,1991
545000,3,2.5,9000,1,Good,1952
850000,5,2.75,15119,2,Average,1998
550000,4,3.5,4750,2,Average,2003
600000,3,2.25,9314,2,Average,1984
535000,4,2.5,12138,1,Average,1968
599950,3,2.5,4975,2,Average,2014
531000,5,2.75,5022,1,Good,1955
530000,4,2.25,7665,2,Good,1968
597326,4,4,8250,2,Average,2015
805000,4,2.5,33460,2,Average,1997
390000,4,1.75,8364,1,Good,1968
487250,4,2,3250,1.5,Average,1901
301000,3,1.5,8414,1,Good,1967
1.18E+06,5,2.75,5618,1.5,Average,1923
299000,4,2.5,3000,2,Average,2002
2.35E+06,4,2.25,22863,2.5,Good,1907
400000,4,2.5,3904,2.5,Average,1999
467500,4,2.5,7210,1,Good,1969
305000,4,2.5,9103,2,Average,1990
210000,3,1,306848,1,Average,1953
300000,3,1,10168,1,Average,1979
327500,3,2.25,8755,1,Average,1981
269000,3,2,7136,1,Average,2003
975000,4,3.25,17533,1,Average,1969
355000,3,1,5400,1,Good,1940
712000,3,1,4620,1.5,Good,1900
883000,4,2.5,41656,2,Average,1985
190000,2,1,12252,1,Average,1994
443000,3,1.75,8028,1,Average,1967
920000,4,3,11025,2,Average,1976
285000,4,2.25,8250,1,Good,1978
901000,4,3.25,4080,1,Average,1916
552500,3,1.75,5775,1,Average,1958
256000,2,1,5000,1,Average,1915
341000,3,1.5,7119,1.5,Good,1952
279000,4,2.25,8941,2,Average,1975
686000,4,2.25,10650,2,Good,1977
225000,2,1,11867,1.5,Good,1975
215500,2,1.75,15600,1,Average,1972
950000,4,3,4800,1.5,Average,1919
503000,4,2.5,156988,2,Average,1996
780000,3,2.5,7567,2,Average,1997
212000,4,2,7500,1,VeryGood,1946
580000,4,2.75,6703,1.5,Average,1983
465000,4,2.5,3141,2,Average,1994
206000,4,2,7560,1,Average,1959
615000,3,2.5,10171,2,Average,1987
519000,4,1,6305,1.5,VeryGood,1907
1.14E+06,4,3.25,11444,2,Average,2001
330000,5,2.5,3839,2,Average,2005
240000,4,1.5,7973,1,Average,1955
574000,3,2,7000,1,Good,1988
930000,4,4.25,24663,2,Average,2007
850000,4,3,183823,2,Average,1975
415000,3,1.5,7275,1,Average,1974
480000,3,2.5,9005,1,VeryGood,1929
300000,5,1,8875,1,Average,1957
439000,4,2.25,9503,2,Average,1980
450000,3,1,36831,1,Average,1938
589000,3,2.5,206480,1,Average,1989
477000,3,2.25,3000,2,Average,2003
587500,4,2.25,6120,1,Average,1951
1.32E+06,4,2.25,6105,2,Average,1905
1.43E+06,4,2.5,27589,2,Average,1966
700000,4,2.25,15000,2,Average,1978
275000,2,1,6552,1,Good,1949
367500,3,1,11783,1,Good,1978
453250,4,2.5,6300,2,Average,2001
607000,5,1.75,5428,1,Average,1954
255000,4,2,8960,1,Average,1960
501000,2,2,2500,1,Good,1926
450000,3,1,4650,1,Average,1950
360000,3,2.25,8000,2,Average,1981
460000,4,1.75,3050,1.5,VeryGood,1929
753000,3,1.75,8290,1,Good,1950
389950,2,1,4234,1,Average,1951
469000,2,1,4400,1,Average,1924
550000,4,1.75,5688,2,Good,1939
565000,5,3.5,11675,1.5,Good,1948
189650,2,1.75,7600,1,Average,1980
1.53E+06,4,3.25,5131,2,Good,1927
260000,3,1.75,8000,1,Average,1980
243000,3,1.75,12000,1,Average,1960
1.10E+06,4,2.5,13800,1,Good,1969
249000,3,1.5,7200,1,Good,1976
720000,2,1,7200,1,Good,1947
905000,4,2.5,9557,2,Average,1995
824500,4,2.5,3500,1.5,VeryGood,1927
762500,4,2.75,8760,1,Good,1978
580000,3,2.5,1280,3,Average,2008
380000,3,2,8580,1,Average,1990
805000,3,1.75,3200,1,Good,1926
520000,4,1.75,4532,1.5,Good,1944
1.57E+06,5,4.5,5800,3,Average,1999
175000,2,1,8925,1,Average,1911
353500,4,2.25,9602,2,Average,1987
500000,4,2.5,26989,1,Good,1962
386500,3,1.75,7350,1,Good,1972
210000,2,1,4750,1,Average,1950
439500,3,2.5,6510,1,Average,1983
315000,5,2.5,5751,2,Average,2002
339000,4,2.5,8601,2,Average,2003
655000,4,2.25,9163,1,Good,1971
740000,2,2.5,8678,1,Average,2008
685000,5,2.5,7843,2,VeryGood,1966
550000,5,2.5,9877,1,Good,1960
405000,2,1.75,4234,2,Average,1920
765000,4,2.25,17366,1,Average,1984
625000,3,2,3600,2,Average,1911
207000,4,2.5,19680,1.5,Average,1914
370000,4,2.5,19680,1.5,Average,1914
475000,3,2.5,4961,1,Good,1988
365000,2,1,8250,1,Average,1955
411800,4,2.25,6800,1,VeryGood,1969
668000,5,3.5,42436,2,Average,2002
618000,3,2.5,3630,2,Average,1998
247500,4,2,5921,1,Good,1948
345000,5,3,6150,1,Average,1950
616300,3,2,8400,2,Average,1927
348000,3,1.5,6768,1,Good,1952
425000,3,2.5,10762,1,Average,1994
850000,5,2.75,11880,1,VeryGood,1968
820000,5,2.75,6137,2,Average,2010
832000,4,2.25,52953,2,Good,1980
835000,3,1.75,3840,2,Average,1984
350000,3,2.5,3425,2,Average,1999
349000,4,2.5,4096,2,Average,2003
1.13E+06,6,3.75,4360,2,Average,2014
320000,3,2.5,3480,2,Average,2004
150000,3,1,7210,1,Good,1968
340000,3,1,10190,1,Average,1949
785500,4,4,8448,2,Average,2007
410500,4,2.5,8601,2,Average,2004
580000,3,2.5,11000,2,Average,1978
345000,2,1.5,920,2,Average,2005
550000,3,2.25,37000,1.5,Good,1933
449500,4,3,7299,2,Average,1998
300000,3,1,7007,1,Average,1954
915000,4,2.5,28052,2,Average,1988
1.58E+06,4,3.75,9916,2,Average,1989
599000,4,2.75,2750,1,Average,1917
755000,4,2.5,10202,1,Good,1960
400000,3,1,7157,1,Average,1944
133000,3,1,9115,1,Average,1968
330000,4,1.5,8400,1,Average,1951
330000,4,1,5000,1.5,VeryGood,1904
375000,3,1.75,9417,1,VeryGood,1936
485000,4,2.75,8956,1,Good,1968
470000,4,2.5,11250,1.5,Average,1981
1.05E+06,4,3,3600,2,Average,1905
548800,4,1,4704,1.5,Average,1930
315000,2,1,2674,1,Good,1919
590000,3,2,9374,1,Good,1959
439950,4,2.5,12067,2,Average,2002
325000,3,1.75,26337,1,Average,1980
400000,2,1,5111,1,Average,1931
685000,4,2.5,10051,2,Average,1987
339950,3,2,10200,1.5,Average,1953
315000,3,1.75,8160,1,Good,1951
411753,3,2.5,3795,2,Average,2009
577000,2,1.75,4879,1,Average,1924
500000,3,1.75,8829,1,VeryGood,1972
210000,3,2,10111,1,Average,1963
640000,4,1.75,16120,1,Average,1969
460000,4,1.75,8663,1,VeryGood,1949
265000,2,1,4760,1,Average,1941
740000,5,5,31675,1,Average,1984
230000,3,1,6195,1,Average,1948
315000,3,1.75,10661,1,VeryGood,1978
432000,3,1.75,51763,1,Good,1981
467000,3,2.5,3984,2,Average,1995
255000,5,3.75,9900,1,Average,1964
316500,3,1.75,6360,1,Average,1979
190000,4,2,6250,1,Average,1977
490000,3,2,2400,1.5,Average,1900
378000,4,1.75,23200,1,Good,1976
598800,6,4,17877,3,Average,2013
333800,5,3,3868,1,Average,1990
690000,4,2.5,9904,2,Good,1990
320000,4,1.75,6200,1,Good,1948
1.25E+06,4,3.5,6000,1.5,Good,1912
335000,3,1.5,9600,1,Good,1961
840000,3,2.5,33920,1,Average,2004
608250,4,2.75,21780,2,Average,1986
550000,3,2.5,4165,2,Average,2005
240000,3,1,7920,1,Average,1966
998000,3,2.25,11757,2,Good,1980
275000,3,1.75,8000,1,Average,1978
284200,3,2.5,9292,1,Average,1977
1.72E+06,4,3.75,7623,2,Good,1941
2.40E+06,4,3.75,24825,2,Good,1926
930800,5,2.5,96574,2,Average,1988
930000,4,3,10400,1,VeryGood,1959
215000,4,1.5,8775,1,Average,1979
480000,2,1.5,26487,1,Good,1943
483945,2,1.75,5120,1,Good,1951
347000,3,1.75,8050,1,Good,1978
232500,3,2,9760,1,Good,1979
390000,4,2.25,33132,1,Good,1965
550000,3,2.25,15360,1,Average,1965
590000,4,2.5,8971,2,Average,1987
420850,1,1,40946,1,VeryGood,1945
345000,4,2.5,8190,1,Average,1983
429800,3,2,7000,1,Average,1986
302000,4,1.75,17664,1.5,Average,1968
800000,4,1.5,3952,1.5,Good,1932
250000,3,2.5,6000,2,Average,1997
605000,3,2,4500,1,Good,1922
412000,3,1.75,52256,1,Good,1985
252000,3,2,5670,2,Average,1994
375000,3,1,12500,1.5,Average,1954
725000,2,1.75,2719,1,VeryGood,1919
471750,5,3.5,8200,1,Average,2001
490000,4,2.25,85813,2,Average,1995
439000,2,1,5100,1,Average,1945
355000,4,2,8890,1,VeryGood,1949
250000,1,0.75,87120,1,Average,1944
780000,4,2.25,16188,1,Average,1984
409000,2,1,3271,1,Good,1918
420000,2,1,3880,1,Good,1916
200000,1,0.75,9600,1,Average,1947
830000,2,1.5,35679,1,Good,1963
695000,3,2.5,4555,2,Average,2006
815000,4,2.75,9614,2,Average,1998
210000,3,1.75,6223,1,Average,1983
635000,3,1.75,6000,1,Good,1957
562500,4,2.5,7322,2,Average,1991
402500,4,2.5,11951,2,Average,1988
555000,3,2,7020,1,Good,1951
310000,3,1,7173,1,Average,1972
500000,4,2.5,18001,2,Average,1994
430000,6,3,8800,1,Average,1959
1.60E+06,3,4.25,7200,2,Good,1930
627500,4,1,4080,1.5,Average,1923
335000,4,2.5,7050,2,Average,1998
962000,4,2.25,20100,1,Good,1981
299000,3,1.75,14270,1,Average,1959
399950,4,2.5,5868,2,Average,2001
322000,3,1,9660,1,Average,1968
430000,2,1.5,4625,1,Good,1949
307000,3,1.75,13860,1,VeryGood,1966
194000,3,1.5,5000,1,Average,1943
180000,3,1,8581,1,Good,1920
465000,4,2.25,13383,1,Average,1983
722500,4,2.5,9296,2,Average,1978
470450,2,1,3400,1,Average,1921
280000,3,2.5,6000,2,Average,1990
176250,4,2,6702,1,Good,1966
560000,5,1,9100,1.5,Good,1926
830000,3,2.5,11287,2,Average,1991
276900,2,1,10096,1,Good,1952
625000,3,1.75,4800,2,Average,1906
1.02E+06,4,2.5,4760,2,Average,1900
463500,1,1,8750,1,Good,1924
485000,3,2.5,9015,2,Average,1990
272000,3,2,7476,1,Average,1989
305000,2,1,3140,2,Average,2008
760000,3,2.5,13964,1,VeryGood,1959
387500,2,1,6126,1,Good,1938
352000,4,2.5,5015,2,Average,2004
507000,3,1.75,40098,1,VeryGood,1950
156000,3,1,9750,1,Average,1941
580000,3,3.25,857,3,Average,2001
630000,4,2.5,35020,1,Good,1977
275000,5,1.5,9000,1,Average,1964
835000,5,4,14720,1,VeryGood,1960
340000,4,2.5,7850,2,Average,1995
329350,2,1,6687,1,Average,1942
1.48E+06,3,3.5,26000,2,Average,1991
475000,3,1,150117,1,Average,1975
719950,3,2.25,2416,3,Average,2014
235000,1,1,2451,1,VeryGood,1941
875000,3,1.5,5750,1,Average,1939
380000,4,1.75,9150,1,Average,1974
325000,3,2.25,97138,1.5,Average,1984
475000,4,2.5,57050,2,Average,1989
152900,1,1,4368,1,VeryGood,1915
210000,2,2,7570,1,Average,1939
350000,4,1,6000,1,Average,1925
505000,3,2.5,17882,2,Good,1985
464900,4,2.25,8424,1,Good,1979
650000,3,2,5980,1,Average,1957
369950,2,2.75,1140,2,Average,2009
250000,3,2.5,2890,2,Average,2001
320000,3,2.5,2890,2,Average,2001
2.53E+06,4,4.25,16048,1,Average,1950
340000,4,2.25,24700,2,Average,1974
440000,2,1.5,1968,1.5,VeryGood,1906
219950,3,1,7727,1,Good,1959
940000,4,3,11740,1,VeryGood,1957
399950,4,1.5,6125,1.5,Average,1945
1.57E+06,3,2.75,8828,1,Good,1954
528000,4,1.75,9750,1,Average,1969
545000,4,1.75,8990,1,Good,1956
575000,2,2,6194,1,Average,2004
235000,4,2.75,10184,1,Average,1979
272000,3,2.5,6371,2,Average,1998
380000,4,1.75,9600,1,Good,1969
195000,3,1,6967,1.5,Average,1949
297000,3,2.5,4988,2,Average,2002
349000,4,2.5,7294,2,Average,2003
320000,2,1,5200,1,Good,1942
319990,4,1.5,10707,1,Average,1962
439900,2,2,12282,1.5,VeryGood,1909
429000,3,3.25,3600,2,Average,1995
272500,3,2,6250,1,Average,1998
400000,4,2,7255,1,Good,1959
462000,5,2,4300,1.5,Average,1916
510000,2,1,6095,1,Average,1947
550000,3,2.5,3255,2,Average,1988
150000,3,1,5200,1,Average,1969
460000,3,2.5,8490,1,Average,1969
632500,4,2.5,10306,2,Average,1986
361000,3,1.75,11220,1,Good,1969
437000,3,2.25,1221,2,Average,2004
370000,6,2.75,5750,1,Good,1950
884250,4,2.5,12151,2,Average,1998
225000,3,1,9936,1,Good,1969
235000,2,1,5000,1,Average,1949
767500,6,3.5,6000,2,Average,1916
1.20E+06,3,1.75,8078,1.5,Good,1928
715000,3,2.5,46609,2,Average,1989
417000,4,2.25,7700,1,Average,1959
199000,3,1,12145,1,Good,1964
875000,5,2.5,5568,2,Average,1906
545000,4,1.5,3708,1.5,Average,1926
192500,2,1,7692,1,Average,1926
822500,3,2.5,7708,2,Average,1999
800000,4,2.5,10000,1,Average,1975
1.25E+06,3,2.5,4944,2,Average,1930
3.85E+06,4,4.25,21300,2,Good,1980
295000,3,2.5,7936,2,Average,1995
419000,2,1.75,4980,1,Average,2006
1.20E+06,5,3.25,19606,1,Average,1993
750000,4,2.75,13907,2,Average,1995
502000,4,1.5,8400,1,Average,1953
1.03E+06,3,1.75,8000,1,Good,1960
398500,3,1,15960,1.5,Average,1945
700000,2,1.5,4945,1.5,Good,1907
248000,5,1.5,9078,1,Good,1959
800000,4,2,2800,1,VeryGood,1922
383000,4,2.5,8055,2,Average,2004
688000,4,3,4000,1.5,Average,1913
521000,3,2,5455,1,VeryGood,1926
365000,2,1,9223,1,Average,1949
491000,3,2,7000,1,Average,1980
643000,3,2.75,7700,1,VeryGood,1965
279000,3,2.5,7350,1,Fair,1979
583500,4,1,3900,1.5,Good,1908
310000,3,2.5,3600,2,Average,2004
310000,3,1.75,7650,1,Good,1984
280000,3,1,13975,1,Good,1956
272000,4,2.5,5692,2,Average,2004
870000,4,3,36246,1.5,Average,1923
307000,3,2,7259,1,Average,1980
490000,2,1.5,4500,1,Good,1946
399950,3,2,9396,1,VeryGood,1960
1.64E+06,5,3.5,26784,1,Average,1958
989000,5,4.5,13474,2,Average,2000
264950,4,1.75,9011,1,VeryGood,1983
491500,4,2.75,7236,1,Average,1979
345000,3,2.25,15003,2,Average,1984
339900,4,1.75,18042,1,Good,1969
852000,3,3,4000,2,Average,1905
585000,5,3.5,40946,1,Average,1968
723000,4,2,8793,1,Good,1977
594000,3,2.25,70567,2,Average,1990
405000,2,1.5,4102,2,Good,1987
725500,4,2.5,74495,2,Average,1997
800000,2,1,5719,1,Average,1955
1.33E+06,3,3.75,76665,1,Good,1966
180500,3,2.5,8518,2,Average,1996
325000,3,2.5,8518,2,Average,1996
235000,3,1.75,7280,1,Good,1968
330000,2,1,8308,1,Good,1948
678500,3,2,6600,1,Good,1952
463000,4,2.5,6660,2,Good,1974
250000,2,1,4640,1,Average,1943
655000,3,2,4800,1.5,Good,1927
239900,4,2.25,7000,1,Average,1979
185000,3,1,9135,1,Average,1955
1.74E+06,4,2.25,5000,2,Good,1926
251700,3,2.25,11800,1,Average,1977
400000,4,2,8250,1,Average,1964
735000,4,1.75,7960,1,Average,1955
1.70E+06,5,2,15250,2,VeryGood,1942
82500,2,1,22334,1,Fair,1951
765000,4,4,7221,2,Average,2004
292500,4,1.75,8162,1,Average,1968
270000,3,2.25,7000,1,Good,1970
415000,2,1,6807,1,Average,1939
950000,4,1.75,19025,1,Good,1952
353000,3,2.75,8396,2,Average,1995
670950,3,2.5,2375,3,Average,2007
280950,3,1.75,8700,1,Good,1912
585000,3,1.75,7735,1,Good,1983
525000,2,1.5,43645,1,Average,1974
605000,3,1.75,8823,1,Good,1973
1.01E+06,4,3.5,3752,2,Average,2007
245990,3,1,8410,1,Average,1942
535000,4,2.25,12607,2,Average,1985
410000,1,1.5,5750,1,Average,1911
550000,3,2.5,7752,2,Good,1988
665000,3,1.75,8000,1,Average,1972
455000,3,1,17239,1,Good,1940
440000,4,1,4000,1.5,Average,1922
332000,3,2.25,14915,1,Average,1979
280000,3,2.5,6607,2,Average,1989
570000,3,3.5,1021,2,Average,2006
250000,3,1,10350,1,Good,1957
238000,2,1,8453,1,Average,1952
265000,3,1,5760,1,Average,1949
306000,3,1,10350,1,Good,1959
345000,5,2.75,4182,1,Average,2002
765000,4,2.5,10764,1,Good,1971
346300,4,2.5,11018,2,Average,1998
342500,3,2,11375,1,Average,2002
501000,4,2.25,5439,2,Average,2000
270000,3,2.5,8364,1,Good,1990
638000,3,1,4400,1.5,Good,1930
460000,3,1.75,2003,1,Good,1908
760000,4,1.75,8521,1,Good,1953
1.09E+06,3,2.5,11019,1,Good,1972
234000,3,1,8128,1,Average,1983
1.65E+06,3,2.75,8890,2,Good,1975
488000,5,2,5000,1.5,Good,1938
1.55E+06,5,2.5,20805,2,Good,1963
499000,4,3,12675,2,Average,1982
150000,3,1,6776,1,Average,1952
333000,4,2.5,7270,2,Average,1993
700000,4,2.75,8625,1,Good,1959
275000,4,1,22500,1.5,Average,1926
330000,3,2.5,11312,1,Average,1959
360000,4,2,8827,1,Average,1969
467000,3,1,8040,1.5,Average,1965
568000,3,2.5,57063,1,Good,1979
605000,5,2.25,9603,2,Average,1972
750000,4,2.75,9023,2,Average,2005
760000,3,2.75,69834,2,Average,1994
265000,3,1.75,10519,1,Average,1979
490000,3,1.75,12540,1,Good,1956
360000,4,2.5,4650,2,Average,2004
311750,4,2.25,12000,1,Good,1976
399000,3,2.25,12473,1,Average,1958
347000,4,2.5,9751,2,Average,1989
1.68E+06,4,3.75,34982,2,Average,1998
585000,4,2.5,6479,2,Average,2005
340000,4,2.5,7475,2,Average,1992
612000,3,2.5,5496,2,Average,1994
230000,2,1.75,3376,2,Average,1980
604000,4,2.5,7753,2,Average,1989
250000,3,1.75,8868,1,Good,1959
