Ac_No,Age,Years of Experience,Number of Vehicles,Gender,Married,Losses in Thousands
100174,67,49,2,F,Single,455.5473483
193872,65,47,2,M,Married,141.6715803
150806,28,9,2,F,Married,319.5596127
106273,31,10,2,F,Married,312.4465176
196695,18,0,2,M,Single,516.6607639
141507,62,43,2,F,Married,200.5838031
132910,17,0,2,F,Married,455.3669137
183760,63,45,2,M,Single,236.0096439
197791,62,44,2,M,Married,214.3062182
106322,17,0,2,F,Married,163.4888262
171816,70,50,2,M,Single,16.55863596
112035,67,47,2,M,Married,221.5763437
127222,30,12,2,F,Married,509.4519769
191825,66,49,2,M,Married,175.8884718
127747,53,33,2,M,Single,490.6586864
185559,30,10,2,F,Single,417.6042699
112707,19,0,2,F,Single,186.4975253
192402,51,33,2,M,Single,525.1884374
149049,16,0,2,F,Single,863.5664988
171324,16,0,2,F,Single,434.3302549
166328,56,37,2,M,Single,602.3317886
118428,56,38,2,M,Married,335.2309377
140198,25,6,2,F,Married,285.7204047
173538,22,5,2,M,Married,574.688578
132425,20,1,2,F,Single,329.4951415
144427,55,36,2,F,Single,394.2260359
174792,53,34,2,F,Single,405.5257902
149254,60,40,2,F,Single,320.4630531
167677,63,45,2,M,Married,337.1433254
140821,46,29,2,F,Married,473.0895948
159180,23,5,2,M,Single,709.7052299
123041,63,44,2,M,Married,110.9730614
182645,54,35,2,M,Single,417.4354139
100442,70,52,2,M,Single,350.0212837
171269,70,53,2,M,Married,50.65198172
172144,53,33,2,F,Single,325.810068
185300,19,2,2,M,Married,243.4427274
149488,53,33,2,F,Married,296.877291
146724,62,43,2,F,Married,98.25327356
138708,35,18,2,M,Married,401.7803639
103414,49,28,2,F,Single,376.1090335
159099,70,52,2,M,Married,140.6283107
169509,65,48,2,M,Single,435.6436387
177869,20,1,2,M,Single,1286.089237
175375,19,2,2,M,Single,1041.495458
116273,64,47,2,M,Single,48.20137783
188180,42,24,2,F,Single,690.3977415
120634,25,8,2,F,Single,208.4650989
179303,16,0,2,M,Married,395.3114021
135471,56,36,2,F,Married,227.967879
171632,70,51,2,M,Single,168.8770652
105456,16,0,2,F,Single,412.5500186
167577,37,19,2,F,Married,598.5651052
135704,48,29,2,F,Single,425.7026245
188343,31,14,2,M,Married,474.1045373
170043,52,32,2,F,Single,323.8725235
109240,33,16,2,M,Single,635.3621555
179586,52,34,2,M,Single,368.4395827
129230,51,30,2,F,Single,701.7325782
129584,24,7,2,F,Single,623.1690893
169733,31,13,2,F,Single,377.7105445
188548,30,9,2,F,Single,455.0550828
175284,68,49,2,F,Single,43.40882502
134743,69,49,2,M,Single,229.1536957
195304,58,38,2,M,Married,323.152546
148191,65,48,2,F,Single,111.3605932
139104,63,43,2,F,Single,18.39388561
194121,66,45,2,F,Married,153.7567657
175191,28,8,2,M,Married,360.5535877
167093,32,13,2,F,Married,602.9203731
175752,66,49,2,F,Married,231.7778468
101468,46,26,2,F,Married,217.5709589
186696,63,43,2,F,Married,235.020936
131607,28,8,2,F,Single,473.2256212
154215,67,46,2,M,Married,338.9769113
141578,43,23,2,F,Married,390.9438171
191637,16,0,2,F,Single,358.8569449
158249,38,20,2,M,Married,513.4092655
165495,56,39,2,M,Single,504.3038973
144978,69,52,2,M,Married,117.261906
106788,47,28,2,M,Married,518.3633147
159207,62,43,2,F,Married,17.62387915
164082,25,8,2,F,Married,218.1612906
187420,22,4,2,F,Married,387.2199773
182370,31,14,2,F,Single,429.6450408
181759,19,0,2,F,Single,283.2421494
183339,64,43,2,F,Married,205.2059665
160704,64,45,2,M,Single,358.3010608
181125,65,47,2,M,Married,354.2202083
158744,17,0,2,M,Married,488.2250123
154742,38,21,2,F,Married,316.5019388
164014,38,20,2,F,Married,182.2446094
186464,60,43,2,F,Single,317.6100662
154024,33,12,2,F,Single,237.228971
123118,17,0,2,M,Single,1322.743329
137599,18,0,2,M,Married,387.745597
100607,62,43,2,F,Married,62.914229
196332,70,52,2,F,Single,188.6227569
109823,23,6,2,F,Married,338.6778191
110799,25,7,2,F,Single,562.181514
190133,18,0,2,M,Single,463.2390525
131459,61,42,2,M,Single,400.0163768
132014,65,45,2,M,Single,533.4980434
129946,16,0,2,M,Single,782.3743275
100312,34,14,2,M,Married,353.1886871
196152,43,23,2,F,Single,141.6558586
123968,19,0,2,F,Single,472.1382826
172964,60,39,2,F,Single,301.1482711
187693,23,4,2,M,Married,551.8162587
148491,45,24,2,F,Married,620.9608287
160769,21,4,2,M,Single,753.1638178
140732,38,20,2,F,Married,421.6299652
168134,16,0,2,F,Single,414.7386962
133739,58,37,2,M,Single,800.9668415
109392,68,50,2,M,Single,86.40253407
114614,64,47,2,F,Married,45.8953299
189329,34,16,2,F,Single,344.2895924
139960,43,24,2,F,Single,478.956515
115796,53,33,2,F,Married,260.947997
156634,27,8,2,F,Single,685.5365484
112483,16,0,2,F,Single,535.3980403
176091,26,6,2,M,Married,376.8354896
182799,42,22,2,M,Single,756.6293924
126520,50,29,2,M,Single,518.1773009
138948,25,8,2,F,Married,475.6124439
122791,53,34,2,F,Married,358.3340559
144515,67,50,2,M,Married,103.0383765
125466,47,28,2,F,Married,334.1708324
184719,34,16,2,M,Single,443.5268424
198791,67,48,2,M,Single,138.816053
157984,47,30,2,F,Single,535.32901
147620,48,27,2,F,Married,571.8643026
107372,66,47,2,F,Married,292.5163962
135757,50,31,2,F,Single,389.7354599
198806,34,14,2,M,Married,558.5397196
181139,21,4,2,F,Single,715.6296193
150686,60,40,2,F,Married,256.5214825
153573,55,34,2,F,Single,382.7987489
126059,19,0,2,M,Single,511.7228049
147340,60,40,2,M,Married,201.4466206
157860,52,35,2,M,Married,488.2366164
101320,20,3,2,F,Single,315.5982887
199787,30,11,2,M,Married,232.6932893
163134,68,49,2,F,Single,130.1047303
134402,68,51,2,M,Single,141.1640445
173603,36,17,2,M,Married,205.3902518
158254,60,43,2,F,Single,320.0999341
193336,69,49,2,F,Single,417.6620295
155764,42,22,2,F,Married,526.5832167
134297,56,36,2,F,Married,309.7220679
196909,24,7,2,F,Single,692.2309
112958,20,2,2,F,Married,281.0141047
123394,61,42,2,F,Single,24.21601283
168588,69,49,2,M,Single,384.149582
156649,17,0,2,M,Married,339.9900303
174049,43,23,2,M,Married,288.172329
119043,16,0,2,M,Single,1248.405899
188603,28,8,2,F,Married,324.6162633
163646,17,0,2,M,Married,626.8658074
128649,66,47,2,M,Married,223.7601178
176348,24,5,2,F,Single,563.6946496
103107,22,4,2,M,Single,1394.085068
115954,21,2,2,F,Married,287.8762396
135840,56,39,2,F,Married,294.1870698
134804,33,14,2,F,Married,278.7847833
116768,35,15,2,M,Married,366.0017822
142373,28,8,2,M,Single,421.3970439
179705,17,0,2,F,Married,105.5195049
124299,62,42,2,M,Single,65.68530084
107134,19,2,2,M,Married,479.8115482
146923,58,39,2,F,Single,428.8592904
144286,37,19,2,F,Single,264.6726718
136954,65,45,2,F,Married,110.1622715
129391,51,31,2,F,Married,100.2061501
141220,55,36,2,F,Married,293.2596459
174163,26,7,2,F,Single,639.34696
104841,64,44,2,M,Married,60.55368144
186676,39,22,2,M,Married,365.1659112
101039,22,5,2,M,Married,185.4327464
199376,49,32,2,M,Single,462.1949318
133428,62,44,2,F,Single,386.6502847
169392,25,6,2,F,Single,430.1482025
114603,16,0,2,M,Single,475.5995397
160510,22,5,2,F,Married,681.6681284
178300,53,35,2,F,Married,369.8709847
127564,68,48,2,M,Single,300.270217
155351,61,41,2,M,Single,184.1277861
133254,59,42,2,M,Single,525.6856088
139979,19,1,2,F,Single,1162.112704
100467,68,51,2,F,Single,177.9324401
176097,21,2,2,M,Married,115.6370943
157157,24,5,2,F,Single,362.3409641
176476,17,0,2,F,Married,432.9213332
176253,25,8,2,M,Single,469.5215724
106507,41,24,2,M,Married,365.3682534
135354,17,0,2,M,Married,584.5653071
138241,63,46,2,M,Married,66.23357793
136760,57,39,2,F,Single,421.8803667
138683,17,0,2,M,Married,553.8790435
180127,31,12,2,F,Single,424.2943953
157762,16,0,2,M,Married,204.9570603
109165,27,9,2,F,Single,331.6471059
156817,16,0,2,F,Single,1133.909051
144840,22,5,2,F,Married,235.5643519
130427,69,48,2,F,Single,270.9878941
116082,67,50,2,F,Married,256.2403446
111243,31,14,2,M,Single,293.3821636
138712,37,16,2,M,Married,422.4744399
145750,34,13,2,F,Single,384.9820021
130480,65,48,2,M,Single,234.8463574
179940,63,42,2,M,Married,107.6584512
192857,23,6,2,M,Single,681.6024216
131794,21,2,2,M,Single,917.9892784
100901,43,23,2,M,Married,330.1191091
176096,53,36,2,F,Married,476.5679194
115009,26,9,2,F,Single,521.7207259
168636,25,6,2,M,Married,642.8873908
195119,19,0,2,F,Married,290.1292949
129921,59,38,2,M,Married,375.8090896
110225,68,51,2,M,Single,246.7727365
170144,20,1,2,F,Married,181.1133935
158281,21,3,2,M,Single,1014.926338
151963,63,44,2,M,Single,122.490126
150132,19,1,2,F,Married,121.0765599
115130,37,18,2,F,Married,495.27612
151827,35,15,2,M,Married,373.2377504
183530,22,5,2,M,Single,758.3316514
176701,67,46,2,F,Married,222.2513137
151850,68,50,2,M,Single,42.99304197
145758,69,51,2,F,Married,386.8914346
178969,69,51,2,M,Married,264.7913926
137626,23,6,2,F,Married,255.527599
139013,46,29,2,F,Single,477.8429567
129952,68,51,2,M,Married,31.12221416
118320,67,48,2,F,Single,23.17656269
116783,36,15,2,F,Single,238.8627913
172145,61,44,2,M,Married,32.13850999
149669,65,45,2,F,Married,351.1961222
162323,69,50,2,M,Married,61.21346914
184533,17,0,2,F,Married,215.2266118
166127,16,0,2,F,Married,304.3596949
194081,16,0,2,F,Married,250.5357625
185098,20,1,2,F,Married,306.5802683
118829,63,46,2,F,Married,34.36052183
113585,29,12,2,F,Single,474.8403496
121660,61,43,2,F,Married,252.4533935
134103,54,33,2,F,Married,267.5866584
144413,68,51,2,M,Single,267.2097953
160670,30,13,2,F,Married,481.0608707
168830,63,46,2,M,Single,410.8016095
149617,61,42,2,F,Married,70.23548331
157853,58,40,2,M,Single,877.1687137
132224,28,8,2,F,Married,222.4028062
110919,58,41,2,M,Married,382.7712477
131410,62,41,2,F,Single,102.6944895
196484,36,19,2,F,Single,422.9126911
200208,21,2,2,M,Married,484.4608066
167381,47,27,2,F,Single,568.1048662
189976,51,32,2,F,Married,476.4940151
124596,46,26,2,F,Single,691.5961948
164942,63,43,2,F,Married,66.30321234
161841,69,52,2,M,Married,213.322691
126368,70,50,2,M,Single,400.0748994
188105,16,0,2,F,Married,309.9269399
167399,19,1,2,M,Single,1084.643825
147909,60,43,2,M,Single,131.0345546
188652,23,4,2,F,Married,343.544987
160235,25,7,2,M,Married,599.941101
120755,21,2,2,M,Single,1034.576892
147503,25,7,2,F,Single,759.9206549
195194,16,0,2,F,Married,253.2009313
136781,19,1,2,M,Married,619.2836967
101294,16,0,2,M,Married,454.3752391
190665,29,9,2,F,Single,454.4628239
146889,26,6,2,F,Single,521.4251691
100471,58,40,2,F,Married,313.3115668
128105,26,5,2,F,Single,743.8404236
169744,25,7,2,F,Married,271.4999002
103054,36,16,2,M,Married,246.7423689
111714,18,0,2,M,Married,469.4447224
165997,24,6,2,M,Married,358.6754086
180588,69,49,2,F,Single,181.6719283
112888,37,16,2,F,Married,331.1874007
108621,68,47,2,F,Married,394.5895239
145441,28,8,2,M,Married,377.2063695
182604,18,0,2,F,Married,184.2619675
199314,49,30,2,M,Married,355.1656604
148672,61,44,2,M,Single,182.8579739
136216,44,25,2,F,Single,417.6475313
131221,24,6,2,M,Single,906.1379206
111950,65,47,2,F,Married,151.1795166
127337,21,4,2,F,Married,388.349014
126002,23,4,2,F,Married,220.3915989
179326,60,43,2,F,Single,673.7004525
167632,30,9,2,M,Single,358.7909877
106693,23,5,2,M,Single,726.7582512
120448,69,52,2,F,Married,78.00479255
167642,66,45,2,M,Married,240.0206554
140023,38,17,2,M,Single,784.4685291
187201,61,41,2,M,Married,84.50606754
132905,65,46,2,M,Married,189.1190181
197916,19,0,2,M,Married,369.0411629
158355,16,0,2,M,Single,437.8069624
185366,41,24,2,M,Married,354.2510202
167963,39,22,2,M,Married,448.20283
180133,23,4,2,F,Married,500.0157464
135025,44,26,2,M,Married,681.5267918
185447,33,13,2,M,Married,379.5789069
196919,18,1,2,M,Married,260.0719096
181808,37,18,2,F,Married,488.343685
187621,24,7,2,F,Married,659.7952018
117381,70,53,2,F,Married,154.7307542
182988,29,8,2,F,Married,315.2526124
189352,70,50,2,M,Single,459.0836812
141230,42,22,2,M,Married,349.1696365
186749,34,15,2,M,Single,446.7676713
151303,60,41,2,F,Single,336.7476761
103113,69,49,2,M,Single,283.4059068
150981,54,37,2,F,Married,433.7988397
180306,20,3,2,F,Married,124.4894147
168963,18,1,2,F,Married,133.9794244
151690,35,18,2,F,Married,290.8274344
148352,33,16,2,F,Single,182.0703443
178009,70,53,2,M,Married,213.597578
100778,65,47,2,M,Single,327.3019603
130843,55,34,2,M,Single,898.5889774
162913,17,0,2,F,Married,198.3257158
131367,56,35,2,F,Married,304.3149226
120837,31,10,2,F,Single,367.4919132
161194,35,18,2,M,Married,313.9556337
120604,38,20,2,F,Single,403.5861793
191325,67,50,2,F,Married,84.28116303
109426,21,2,2,M,Single,1238.855434
183067,66,48,2,F,Married,252.7599084
118698,32,12,2,M,Single,484.183253
114149,68,51,2,M,Married,67.09859785
175464,39,22,2,F,Single,380.2390255
181057,21,3,2,M,Married,883.5604761
177911,39,18,2,F,Married,348.6496435
192798,40,20,2,M,Married,467.6091343
132461,34,15,2,M,Single,602.7205126
122243,57,40,2,F,Single,420.9816334
107925,52,31,2,M,Married,679.4670175
162128,29,9,2,F,Single,655.0052795
113797,31,12,2,F,Married,306.5892045
139691,26,6,2,F,Single,346.6259326
151981,32,12,2,F,Single,388.2892987
173146,29,11,2,M,Married,319.8674797
164991,50,33,2,M,Single,352.0222124
110816,64,45,2,F,Married,106.9182747
169826,18,0,2,F,Married,217.1088822
173344,52,31,2,M,Single,393.3277765
186780,68,48,2,F,Married,129.1156282
118207,35,18,2,F,Single,481.8868022
104525,62,42,2,M,Single,591.4482438
129017,57,37,2,F,Married,142.2245697
113975,55,38,2,F,Married,280.135132
143149,52,32,2,F,Single,389.9110341
195435,22,5,2,F,Married,330.2577944
184934,36,17,2,F,Single,368.6566367
131590,46,25,2,F,Single,428.5202743
198363,21,3,2,F,Married,153.7438074
101926,62,43,2,F,Married,141.3103188
163307,30,10,2,F,Single,701.8218843
128056,17,0,2,F,Single,811.6163512
101627,31,12,2,F,Single,617.0991685
106368,55,37,2,F,Single,414.9357568
192750,26,7,2,F,Married,300.8567133
136370,28,8,2,F,Married,281.4052085
144980,60,43,2,F,Single,342.9824095
108545,53,36,2,M,Married,196.7456397
134487,27,6,2,M,Married,681.3895589
190823,68,48,2,M,Single,762.3992413
162938,28,7,2,F,Married,334.5390852
186846,45,25,2,F,Married,333.8893909
153709,18,0,2,F,Single,735.4720889
102684,51,33,2,M,Married,447.8181147
123452,55,37,2,M,Single,349.693678
160398,29,8,2,F,Single,691.0368252
121723,57,38,2,M,Married,342.0250702
135362,18,1,2,M,Single,518.4613744
197116,23,6,2,M,Single,778.4199705
113819,62,41,2,F,Single,234.0169203
106584,16,0,2,M,Single,633.0287569
137586,43,23,2,F,Married,415.3391371
160589,65,45,2,F,Single,228.7047373
155394,24,5,2,F,Single,345.91391
133911,47,29,2,M,Married,353.1585726
165059,55,38,2,M,Single,465.282525
116337,33,14,2,F,Single,898.8948057
156278,40,22,2,M,Single,468.9365058
149419,56,38,2,M,Married,361.2911271
184811,63,42,2,M,Single,272.8974502
176183,27,8,2,M,Single,505.7678196
110528,29,8,2,M,Single,757.7647701
110896,16,0,2,F,Married,274.0220669
171007,50,29,2,M,Married,367.2249058
115254,63,45,2,M,Single,769.8337762
183801,61,44,2,M,Single,176.3209485
184387,17,0,2,M,Single,765.6528906
114484,16,0,2,F,Single,674.7125191
127886,25,7,2,M,Married,838.6878046
134777,31,13,2,M,Single,436.1708524
162148,25,8,2,M,Married,269.4863751
161054,24,6,2,F,Single,402.7228306
157565,21,4,2,F,Single,278.9000884
170149,57,39,2,M,Single,412.1684969
122086,52,32,2,M,Single,916.7338256
145730,18,1,2,M,Married,434.4512132
193285,16,0,2,M,Single,837.4157377
175053,22,3,2,F,Single,410.1476426
138535,22,5,2,M,Single,296.1718486
141114,70,51,2,M,Married,122.6835746
197475,62,44,2,M,Single,592.2771478
116634,34,17,2,F,Single,445.8645954
130607,34,15,2,M,Single,609.4384353
161857,67,48,2,F,Married,29.94505399
155644,22,3,2,F,Single,531.3287706
127752,70,53,2,M,Single,115.2820125
115708,68,50,2,F,Single,45.13376464
190239,23,5,2,F,Single,367.2975155
198535,20,2,2,F,Single,297.7994598
175808,49,30,2,F,Married,443.2641355
170331,30,12,2,M,Married,444.3293777
155723,51,31,2,F,Married,151.429648
195418,19,1,2,M,Married,178.5321406
162640,29,8,2,M,Married,652.1225397
173044,23,4,2,F,Married,469.9437156
116313,64,46,2,F,Single,133.7223801
162119,57,36,2,F,Single,375.6861167
155679,66,47,2,M,Single,89.95110132
135195,25,7,2,M,Married,270.1715725
136227,35,14,2,M,Married,729.6449966
187489,69,49,2,M,Single,139.045733
149722,44,23,2,F,Single,443.1036083
136361,38,19,2,F,Single,410.1154769
140588,70,49,2,M,Married,321.0624448
113081,65,46,2,F,Married,191.1909845
143977,19,1,2,F,Married,443.6650907
179730,68,48,2,F,Single,77.05782973
121180,67,48,2,M,Married,73.79096185
136204,41,21,2,F,Single,411.9519695
190805,51,30,2,M,Single,470.7177821
195249,62,42,2,M,Single,199.4172719
151980,50,29,2,M,Single,450.7769182
114225,70,52,2,F,Single,88.01923871
108266,69,49,2,F,Married,447.4350794
116290,56,36,2,M,Married,265.3119797
127009,60,39,2,F,Single,169.8270482
160935,19,0,2,F,Single,471.6957611
152720,25,8,2,F,Married,327.7078753
149333,47,27,2,F,Single,197.830166
191140,18,0,2,F,Single,344.6924813
117839,26,9,2,F,Married,206.6178357
132615,63,44,2,F,Married,212.7331935
113217,25,8,2,M,Married,971.6615958
197169,46,28,2,F,Single,396.236596
137052,68,48,2,F,Married,85.80168233
102526,25,6,2,M,Single,1136.769929
120974,34,17,2,M,Married,432.4997239
141491,31,14,2,M,Married,380.8398167
150940,24,7,2,F,Married,288.4618053
190671,27,8,2,F,Single,144.3156563
160678,20,1,2,F,Married,396.0667996
128988,31,10,2,F,Single,417.2227443
112680,36,17,2,F,Single,377.2055573
139754,17,0,2,M,Married,390.5690694
135721,17,0,2,M,Married,432.1548344
170087,44,25,2,M,Single,594.8041445
100945,19,2,2,M,Single,737.3161446
136674,41,22,2,F,Married,164.1363746
165262,49,32,2,F,Single,191.5855411
118516,22,4,2,M,Married,296.1653493
153992,21,3,2,M,Single,591.6375591
131643,63,44,2,M,Married,34.46317069
123402,22,3,2,F,Married,190.7129418
128541,30,13,2,M,Married,332.1763765
103067,47,29,2,M,Married,626.8658744
196806,47,29,2,F,Married,399.0874425
161680,17,0,2,M,Married,569.9857577
135632,30,13,2,M,Married,298.9794918
168315,63,44,2,F,Married,484.9096114
191212,24,6,2,F,Single,1096.206474
172849,24,5,2,M,Married,277.5433395
177686,67,49,2,M,Single,35.55235284
131621,52,32,2,F,Married,486.4673105
179289,29,8,2,F,Married,228.2340701
188540,68,47,2,F,Single,333.1969856
164160,51,32,2,F,Single,206.9912785
195830,62,41,2,M,Married,106.3385177
169299,51,33,2,F,Single,419.7613
131256,48,31,2,M,Married,341.8221344
156994,55,38,2,M,Single,813.3357101
181936,33,12,2,F,Married,328.9200556
137175,61,43,2,F,Single,47.1281509
106836,63,45,2,F,Single,304.4479143
132882,16,0,2,F,Married,299.0554411
140043,20,2,2,M,Married,215.3327311
170513,23,6,2,F,Single,424.2575249
124746,29,12,2,M,Single,348.4339922
186293,52,32,2,M,Single,462.983244
111019,59,38,2,F,Single,442.349611
176858,57,38,2,M,Married,506.5945122
177630,53,32,2,M,Married,366.4283637
100764,66,49,2,F,Married,57.5769928
121672,65,48,2,M,Married,76.61165366
184120,48,28,2,F,Married,243.8562855
126383,52,31,2,F,Married,345.4512548
181462,43,24,2,F,Single,540.3638924
195625,70,52,2,F,Single,280.5897624
179615,43,25,2,F,Single,293.0462488
101827,60,39,2,F,Married,32.3286988
128834,52,31,2,M,Single,552.3598059
116173,16,0,2,F,Married,397.9675903
185934,37,16,2,F,Married,349.8526063
185576,25,8,2,F,Married,326.2332323
137331,70,50,2,F,Married,386.8985782
195298,55,37,2,F,Married,612.1433415
165149,70,53,2,M,Married,157.8844554
134229,33,13,2,M,Single,464.5138413
142918,61,41,2,M,Married,75.7535758
101981,62,44,2,M,Married,37.8728243
183158,34,15,2,F,Married,222.8087464
155004,65,46,2,F,Married,160.5910585
170444,60,43,2,M,Married,122.9757014
128137,17,0,2,F,Married,255.5687642
168535,50,32,2,F,Married,164.7838719
123069,19,0,2,M,Single,927.3547156
123163,43,22,2,F,Single,362.5033576
133639,35,16,2,M,Married,349.9969519
137595,49,29,2,F,Married,342.1803999
160708,40,21,2,M,Single,429.1482942
182801,19,0,2,M,Married,285.96304
158932,31,13,2,F,Single,175.4208202
120503,48,27,2,M,Married,408.8104413
175408,22,3,2,F,Married,127.0787797
165197,37,20,2,M,Single,481.7089095
150149,53,36,2,F,Married,126.4379963
131255,63,44,2,F,Married,245.3088282
175815,20,1,2,F,Single,1281.070759
105779,64,45,2,M,Married,348.8134872
151816,55,38,2,M,Single,422.6259844
113795,44,23,2,M,Married,700.8128781
105308,17,0,2,F,Single,407.7316449
117475,67,49,2,M,Single,171.9947345
153570,62,43,2,F,Single,434.7456671
198552,17,0,2,M,Single,642.7209895
150903,70,52,2,F,Married,220.4840155
193972,56,36,2,F,Single,133.8254731
129990,56,36,2,M,Single,510.3591905
140510,35,16,2,F,Married,487.5793938
188846,19,1,2,M,Single,706.9268496
111152,62,44,2,M,Single,518.2563145
160639,68,50,2,M,Married,164.8240283
100163,65,48,2,F,Married,67.60303585
137086,27,10,2,F,Married,553.5448463
114082,16,0,2,M,Single,702.1755846
183270,17,0,2,F,Married,476.8176623
184196,63,45,2,F,Single,579.7994154
199063,16,0,2,F,Married,394.2596954
195809,59,39,2,M,Married,384.6369469
179804,40,20,2,M,Married,518.4711624
199262,19,2,2,F,Married,483.7474678
139437,58,40,2,F,Single,481.3603897
196173,39,19,2,F,Married,317.1897689
131971,19,1,2,M,Single,554.6362621
108782,46,28,2,F,Single,593.3446961
116153,31,10,2,M,Single,629.8601463
173850,48,31,2,M,Single,422.157111
160973,64,47,2,F,Married,64.2533819
107987,60,42,2,M,Single,579.1298354
168118,43,24,2,F,Single,424.2836355
165032,67,50,2,F,Single,21.04379396
122909,65,44,2,M,Married,134.3009248
154317,34,14,2,F,Married,250.5664433
120905,59,42,2,M,Married,373.134439
150600,61,43,2,M,Single,163.6062869
127084,23,4,2,M,Married,651.4601572
184033,60,40,2,M,Single,230.7395709
173236,17,0,2,M,Married,303.444704
167941,63,45,2,M,Married,276.2114965
138354,61,44,2,F,Married,58.570891
112711,40,21,2,F,Married,479.4438256
174772,16,0,2,M,Single,508.5325412
170468,23,5,2,M,Single,676.0622962
109954,48,29,2,M,Married,162.1766053
169136,47,28,2,M,Married,526.0220163
155238,60,43,2,F,Single,236.8506906
127246,37,19,2,M,Single,532.6556978
161210,63,44,2,M,Single,115.7203446
152601,23,4,2,F,Single,484.2424026
177143,19,1,2,M,Single,764.2696764
177736,66,46,2,F,Single,106.127757
181524,62,41,2,F,Single,24.67729816
150749,58,39,2,F,Married,565.2358083
173797,21,4,2,F,Single,398.3864132
178046,67,50,2,M,Single,183.0391836
138293,27,6,2,F,Single,387.6816898
158937,28,7,2,F,Married,315.1065652
197174,57,39,2,F,Single,357.2358453
108302,16,0,2,M,Married,445.6753701
121573,25,7,2,F,Single,304.0808254
183731,24,6,2,M,Married,502.3428123
124254,30,12,2,F,Married,401.3791781
100325,54,35,2,M,Single,469.9318977
163995,45,25,2,F,Married,643.1581009
180143,44,23,2,F,Married,279.4071319
172368,24,7,2,F,Single,349.4374446
133232,59,39,2,F,Single,656.7219971
106336,63,43,2,F,Single,671.7035307
163060,60,43,2,M,Single,724.8525528
184850,51,31,2,M,Single,294.7696212
142589,70,51,2,F,Single,280.5294298
186321,36,18,2,M,Married,167.4946277
171392,25,6,2,F,Single,485.1853442
132706,31,10,2,F,Single,440.6938419
159996,60,40,2,F,Married,35.8098218
188905,31,13,2,M,Single,735.2008246
182077,26,6,2,M,Single,171.2690932
178899,53,34,2,F,Single,328.2917116
167721,44,23,2,F,Single,477.4794187
174333,69,49,2,M,Married,170.4699518
161574,43,23,2,M,Single,429.4852152
138357,27,7,2,M,Married,223.1738865
190873,25,6,2,M,Married,483.6953914
171408,61,42,2,F,Single,209.1193573
105262,36,15,2,F,Single,442.328608
143309,23,5,2,M,Single,561.1817658
167759,61,43,2,M,Single,58.82742683
150535,22,4,2,M,Single,706.4166287
179667,29,11,2,F,Married,327.1132464
155325,57,37,2,M,Married,455.0825979
153857,35,14,2,M,Married,384.541988
147067,65,47,2,M,Single,48.42269189
130412,17,0,2,F,Married,258.9133824
176565,65,46,2,M,Single,47.95475079
184013,19,1,2,F,Married,247.4912291
116818,22,3,2,M,Single,628.6636366
128751,61,42,2,M,Married,330.4881474
169292,22,5,2,F,Single,528.072594
110496,59,40,2,M,Single,918.2602107
101708,31,12,2,F,Single,271.3698987
178818,38,20,2,F,Married,241.6032239
108976,20,2,2,F,Single,496.105301
179803,43,26,2,F,Married,600.5002692
159108,31,13,2,M,Married,367.4895123
180651,66,49,2,M,Single,233.0582785
146753,24,7,2,F,Married,200.0278653
140938,58,37,2,F,Single,434.3252095
132983,38,19,2,F,Single,395.5648042
164174,51,30,2,M,Single,327.7978185
158104,32,13,2,M,Married,575.7807875
166434,53,34,2,M,Single,504.6687082
175384,63,46,2,F,Married,244.4837712
164309,18,0,2,F,Married,396.5146413
122750,16,0,2,M,Single,808.8667038
177309,17,0,2,F,Single,782.8205413
181017,22,5,2,F,Single,626.4513425
131813,16,0,2,F,Single,451.9667081
186718,35,15,2,M,Single,278.9718352
196942,64,45,2,M,Single,225.0781285
100466,60,39,2,M,Married,276.6664704
139800,38,19,2,F,Single,484.3743228
191430,25,6,2,F,Married,241.2589403
114959,27,10,2,M,Single,669.8577239
114617,63,44,2,M,Married,132.314349
155825,18,0,2,M,Single,1186.401052
133406,70,53,2,M,Married,219.9071599
138165,53,33,2,F,Single,514.7171097
183394,27,9,2,F,Single,402.6720946
148268,19,2,2,F,Single,207.188738
191628,37,16,2,M,Single,600.8962859
197762,62,45,2,F,Single,360.3568235
155792,39,19,2,M,Married,358.2851037
190999,66,48,2,M,Single,427.8914224
146882,61,42,2,M,Married,276.0410019
117778,17,0,2,M,Married,527.7419482
153317,20,1,2,M,Single,593.2050205
171611,67,46,2,F,Single,49.41061922
134300,61,40,2,F,Single,753.3058236
152774,49,29,2,M,Married,359.134403
188142,65,45,2,F,Single,318.5919676
175941,60,41,2,M,Single,495.8744707
115780,23,5,2,M,Single,1953.606442
150318,53,33,2,M,Single,457.7897754
170899,61,44,2,M,Married,214.3767328
110215,21,3,2,F,Single,315.7115233
133147,49,29,2,M,Married,377.9771534
109605,32,12,2,F,Married,306.6404225
178579,19,2,2,F,Married,301.062505
186134,64,47,2,M,Married,27.9400468
121840,32,14,2,F,Single,360.9385688
187168,64,43,2,M,Married,273.6257213
120034,22,3,2,M,Married,518.8089458
174207,69,48,2,F,Married,39.79180144
107878,26,5,2,F,Married,561.2020227
167117,62,44,2,F,Single,177.0450044
127821,66,47,2,M,Married,239.1793387
154403,50,33,2,F,Married,357.0360115
116469,61,41,2,F,Married,156.5355798
